statement,fact_confidence
President Barack Obamas health care reform slashed $500 billion from Medicare.,0.6
The U.S. ranks 37th in the world for health care.,0.9
"A high school dropout makes on average $19,000 a year, a high school graduate makes $28,000 a year, a college graduate makes $51,000 a year.",1.0
Theres almost 1 million Texans who are unemployed and thats an all-time record number in our state.,0.3
"Nearly 70 percent of all federal spending will go towards Social Security, Medicare, and Medicaid in fiscal year 2014.",0.2
"In Ohio, each year an estimated 1,000 children become victims of human trafficking, and over 3,000 more are at risk.",1.0
"Claims that Obama said, ""For those who oppose our policies, you should just shut up and go away.""",0.0
"Says, Yet in Salem they have traditionally waited until the money is almost gone to pay for the most important things in our states budget.",0.3
"18 percent of our land in our state right now is either federally, state or county owned for conservation purposes.",1.0
"The race will tighten, just because that's what happens at the end of campaigns. They always have.",0.0
"Even after Obamacare is fully implemented, there still will be tens of millions of people not covered.",1.0
The [Obama] administrations regulatory assault on coal-fired energy has put thousands of Americans out of work,0.3
"We have 80,000 abortions in Texas every year.",0.2
Says Tri-Rail shows the potential problems with investing in high-speed rail.,1.0
Says U.S. Senate rival Tommy Thompson is a big corporate lobbyist and has been lobbying during the middle of the campaign.,0.4
"Congressman Paul introduces numerous pieces of substantive legislation each year, probably more than any single member of Congress.",0.7
Four members of the Rhode Island General Assembly went to vote in 2010 and were told they had already voted.,0.5
"The Democrat-backed health care reform plan ""will require (Americans) to subsidize abortion with their hard-earned tax dollars.""",0.2
Mark Warner cast the tiebreaking vote to pass Obamacare.,0.1
"In Iraq, violence is down to an all-time low since the start of the war.",1.0
North Koreas missiles are not going to have a capability to reach the United States anytime real soon.,0.0
Im running for office with much more experience and qualifications than Barack Obama had when he ran.,0.8
Says Measure 3-386 will cost a fortune for elections while Measure 3-388 will cost less.,0.2
"In 2008, Charlie Crist applauded the pick of Sarah Palin and said she would do a great job.",1.0
"The president promised to close the space gap, but he now seems intent on repeating the events that created the space gap in the first place -- putting in place a new rocket design and then trying to underfund the effort...",0.7
Republicans dont think its a good idea to make the child care tax credit stronger.,1.0
More than half of women under 30 who give birth do so outside of marriage...,1.0
I cut spending while serving in the state Legislature,0.5
"If we ban the practice of earmarks, we could save the American taxpayer anywhere between $15 (billion) to $20 billion dollars a year in pork-barrel spending.",1.0
Our welfare system now consumes 42 percent of our budget.,0.8
Agriculture is the strongest industry in Ohio.,1.0
