statement,fact_confidence,classify_confidence,authentication_confidence,label_prediction,label
Building a wall on the U.S.-Mexico border will take literally years.,NaN,0.95,NaN,True,True
Wisconsin is on pace to double the number of layoffs this year.,NaN,0.85,NaN,False,False
Says John McCain has done nothing to help the vets.,NaN,0.97,NaN,False,False
Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,NaN,0.92,NaN,False,False
"When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.",NaN,0.98,NaN,False,False
Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,NaN,0.95,NaN,True,True
Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.,NaN,0.95,NaN,False,True
"Says Vice President Joe Biden ""admits that the American people are being scammed"" with the economic stimulus package.",NaN,0.97,NaN,False,False
Donald Trump is against marriage equality. He wants to go back.,NaN,0.8,NaN,False,True
We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,NaN,0.98,NaN,False,False
We know there are more Democrats in Georgia than Republicans. We know that for a fact.,NaN,0.9,NaN,False,False
PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.,NaN,0.95,NaN,True,False
Denali is the Kenyan word for black power.,NaN,1.0,NaN,False,False
"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",NaN,0.95,NaN,False,False
On residency requirements for public workers,NaN,0.4,NaN,False,False
Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.,NaN,0.85,NaN,False,True
Unfortunately we have documented instances where people defecated in the (Statehouse) building.,NaN,0.95,NaN,True,False
A recent Gallup poll found that 72 percent of Americans and 56 percent of Democrats say the biggest threat to our nations security is big government.,NaN,0.95,NaN,False,False
"Each year, 18,000 people die in America because they don't have health care.",NaN,0.85,NaN,True,True
Ronald Reagan faced an even worse recession than the current one.,NaN,0.9,NaN,True,False
There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as.,NaN,0.95,NaN,True,True
Says Mitt Romney was one of the first national Republican leaders to endorse Marco Rubio.,NaN,0.9,NaN,False,False
The number of illegal immigrants could be 3 million. It could be 30 million.,NaN,0.9,NaN,False,False
Marijuana is less toxic than alcohol.,NaN,0.95,NaN,True,True
Says Charlie Crist is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme.,NaN,0.95,NaN,False,False
"Now, there was a time when someone like Scalia and Ginsburg got 95-plus votes.",NaN,0.98,NaN,True,True
I was gone when there was a red line against Syria.,NaN,0.95,NaN,False,False
"Tim Kaine hiked tuition as governor, but now claims to champion affordability.",NaN,0.9,NaN,True,False
"Contends that President Obama literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.",NaN,0.95,NaN,True,True
Active duty males in the military are twice as likely to develop prostate cancer than their civilian counterparts.,NaN,0.85,NaN,False,True
Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.,NaN,0.95,NaN,False,False
"Under Rosemary Lehmberg, the Travis County D.A.s office convened the grand jury that indicted Rick Perry.",NaN,0.98,NaN,True,False
On which team hes rooting for in the World Series.,NaN,1.0,NaN,False,False
Tom Ganley has two Fs from the Better Business Bureau and over 160 complaints in just three years.,NaN,0.95,NaN,True,False
The United States has a low voter turnout rate.,NaN,0.95,NaN,True,True
"Says Thomas Jefferson said, You might be able to fool the people for awhile, and they may go astray, but sooner or later the American people are going to wake up and they will correct the course.",NaN,0.98,NaN,False,False
"Because of the federal health care law, 300,000 health plans canceled in Florida.",NaN,0.85,NaN,True,False
"In Massachusetts, Scott Brown pushed for a law to force women considering abortion -- force them -- to look at color photographs of developing fetuses.",NaN,0.95,NaN,False,True
"The Fed created $1.2 trillion out of nothing, gave it to banks, and some of them foreign banks, so that they could stabilize their operations.",NaN,0.95,NaN,True,True
Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas sales tax deduction a decade ago.,NaN,0.7,NaN,False,True
Pre-existing conditions are covered under my (health care) plan.,NaN,0.95,NaN,True,False
"Greg Abbott activated the state guard to monitor Jade Helm 15 in case the troops try to impose martial law, disarm innocent Texans, and detain them in tunnels beneath closed Walmart stores.",NaN,0.95,NaN,False,False
Says he won the second debate with Hillary Clinton in a landslide in every poll.,NaN,0.95,NaN,False,False
Says bag litter increased after San Francisco banned single-use shopping bags.,NaN,0.85,NaN,False,False
"In 1993, Newt Gingrich first advocated for the individual mandate in health care. And as recently as May of this year, he was still advocating for it.",NaN,0.9,NaN,False,True
"Says as a result of the national health care reform, the Congressional Budget Office says we save $250 million over the first 10 years. Over the next 10 years, we save $1.2 trillion in savings in terms of health care.",NaN,0.92,NaN,False,False
"You said you would vote against the Patriot Act, then you came to the Senate, you voted for it.",NaN,0.9,NaN,True,False
The federal minimum wage is worth about 20 percent less than it was when Ronald Reagan gave his first address to a joint session of Congress.,NaN,0.9,NaN,True,True
"A proposed tax to fund transportation projects would spend $90,000 to take a single vehicle off the road during the morning and afternoon commute.",NaN,0.85,NaN,False,False
A salesclerk at Hobby Lobby who needs contraception is not going to get that service through her employers health care plan because her employer doesnt think she should be using contraception.,NaN,0.95,NaN,True,False
Says Charlie Crist voted against raising the minimum wage.,NaN,0.95,NaN,False,False
Hillary Clinton said gun confiscation would be worth considering.,NaN,0.95,NaN,False,False
"Already, a prototype driverless car has traveled more than 300,000 miles in the crowded maze of California streets without a single accident.",NaN,0.85,NaN,False,True
"Last year, out of the 500,000 (in) population growth we had in the state of Texas, about 250,000 of the 500,000 came to Texas... from the other 49 states.",NaN,0.9,NaN,True,False
When undocumented children are picked up at the border and told to appear later in court ... 90 percent do not then show up.,NaN,0.95,NaN,False,False
Says Gov. Chris Christie cut spending (by) $1 billion and provided $850 million in new education funding.,NaN,0.85,NaN,False,False
Hes the only candidate whos balanced budgets and brought jobs to Providence.,NaN,0.6,NaN,False,True
"Studies have shown that in the absence of federal reproductive health funds, we are going to see the level of abortion in Georgia increase by about 44 percent.",NaN,0.85,NaN,False,False
ACORN will be a paid partner with the Census Bureau and they will be in charge of going door-to-door and collecting data from the American public.,NaN,0.98,NaN,False,False
Sixty percent of the Hispanics support the Arizona immigration law,NaN,0.8,NaN,False,False
"If the sequester hits, federal prosecutors will have to let criminals go.",NaN,0.9,NaN,False,False
Says Bill and Hillary Clinton attended Donald Trumps last wedding.,NaN,0.98,NaN,True,True
I did not play any role in bringing the company to RI as did others in government. I was tasked with handling the legislation affecting the company by my superiors.,NaN,0.8,NaN,False,False
"Obamacare insurance cooperative failures should be expected because theyre like any business, and when you start businesses in America, at the fifth year, half of the businesses have closed.",NaN,0.85,NaN,True,False
The tax cut deal is giving $700 billion to millionaires and billionaires.,NaN,0.85,NaN,False,False
Says Marco Rubio said Social Security and Medicare haveweakened us as a people.,NaN,0.95,NaN,False,True
"Across the country, $174 billion of the Recovery Act have been committed in its first 130 days.",NaN,0.95,NaN,True,True
"As secretary of the Department of Energy under former President Bill Clinton, ""I created reserves of home heating oil.""",NaN,0.95,NaN,True,True
Twenty-five states have lower unemployment than Texas which is tied with Mississippi for more minimum-wage jobs than anywhere in the United States.,NaN,0.8,NaN,True,True
"Of the 20 bills [Rep. David] Cicilline has sponsored in his three years in office, not a single one has advanced past the embryonic committee stage.",NaN,0.95,NaN,True,False
"Says Donald Trump has said he loves war, including with nukes.",NaN,0.9,NaN,False,False
"Any state tax law has to start in the House and the renewal of the state hospital bed tax this year started in the Senate, which is unconstitutional.",NaN,0.9,NaN,False,False
