statement,authen_confidence,label
Building a wall on the U.S.-Mexico border will take literally years.,1.0,True
Wisconsin is on pace to double the number of layoffs this year.,1.0,False
Says John McCain has done nothing to help the vets.,1.0,False
Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,0.8,False
"When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.",0.95,False
Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,0.95,True
Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.,0.9,True
"Says Vice President Joe Biden ""admits that the American people are being scammed"" with the economic stimulus package.",1.0,False
Donald Trump is against marriage equality. He wants to go back.,1.0,True
We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,1.0,False
We know there are more Democrats in Georgia than Republicans. We know that for a fact.,0.9,False
PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.,0.8,False
Denali is the Kenyan word for black power.,0.1,False
"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",0.2,False
On residency requirements for public workers,0.8,False
Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.,1.0,True
Unfortunately we have documented instances where people defecated in the (Statehouse) building.,1.0,False
A recent Gallup poll found that 72 percent of Americans and 56 percent of Democrats say the biggest threat to our nations security is big government.,0.8,False
"Each year, 18,000 people die in America because they don't have health care.",1.0,True
Ronald Reagan faced an even worse recession than the current one.,1.0,False
There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as.,0.95,True
Says Mitt Romney was one of the first national Republican leaders to endorse Marco Rubio.,1.0,False
The number of illegal immigrants could be 3 million. It could be 30 million.,0.95,False
Marijuana is less toxic than alcohol.,0.95,True
Says Charlie Crist is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme.,0.7,False
"Now, there was a time when someone like Scalia and Ginsburg got 95-plus votes.",1.0,True
I was gone when there was a red line against Syria.,1.0,False
"Tim Kaine hiked tuition as governor, but now claims to champion affordability.",0.6,False
"Contends that President Obama literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.",0.9,True
Active duty males in the military are twice as likely to develop prostate cancer than their civilian counterparts.,1.0,True
Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.,0.3,False
"Under Rosemary Lehmberg, the Travis County D.A.s office convened the grand jury that indicted Rick Perry.",0.95,False
On which team hes rooting for in the World Series.,0.95,False
Tom Ganley has two Fs from the Better Business Bureau and over 160 complaints in just three years.,0.95,False
The United States has a low voter turnout rate.,1.0,True
"Says Thomas Jefferson said, You might be able to fool the people for awhile, and they may go astray, but sooner or later the American people are going to wake up and they will correct the course.",1.0,False
"Because of the federal health care law, 300,000 health plans canceled in Florida.",1.0,False
"In Massachusetts, Scott Brown pushed for a law to force women considering abortion -- force them -- to look at color photographs of developing fetuses.",1.0,True
"The Fed created $1.2 trillion out of nothing, gave it to banks, and some of them foreign banks, so that they could stabilize their operations.",1.0,True
Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas sales tax deduction a decade ago.,1.0,True
Pre-existing conditions are covered under my (health care) plan.,1.0,False
"Greg Abbott activated the state guard to monitor Jade Helm 15 in case the troops try to impose martial law, disarm innocent Texans, and detain them in tunnels beneath closed Walmart stores.",0.2,False
Says he won the second debate with Hillary Clinton in a landslide in every poll.,0.95,False
Says bag litter increased after San Francisco banned single-use shopping bags.,0.8,False
"In 1993, Newt Gingrich first advocated for the individual mandate in health care. And as recently as May of this year, he was still advocating for it.",1.0,True
"Says as a result of the national health care reform, the Congressional Budget Office says we save $250 million over the first 10 years. Over the next 10 years, we save $1.2 trillion in savings in terms of health care.",1.0,False
"You said you would vote against the Patriot Act, then you came to the Senate, you voted for it.",1.0,False
The federal minimum wage is worth about 20 percent less than it was when Ronald Reagan gave his first address to a joint session of Congress.,1.0,True
"A proposed tax to fund transportation projects would spend $90,000 to take a single vehicle off the road during the morning and afternoon commute.",0.95,False
A salesclerk at Hobby Lobby who needs contraception is not going to get that service through her employers health care plan because her employer doesnt think she should be using contraception.,0.95,False
Says Charlie Crist voted against raising the minimum wage.,0.3,False
Hillary Clinton said gun confiscation would be worth considering.,0.95,False
"Already, a prototype driverless car has traveled more than 300,000 miles in the crowded maze of California streets without a single accident.",1.0,True
"Last year, out of the 500,000 (in) population growth we had in the state of Texas, about 250,000 of the 500,000 came to Texas... from the other 49 states.",1.0,False
When undocumented children are picked up at the border and told to appear later in court ... 90 percent do not then show up.,1.0,False
Says Gov. Chris Christie cut spending (by) $1 billion and provided $850 million in new education funding.,0.95,False
Hes the only candidate whos balanced budgets and brought jobs to Providence.,1.0,True
"Studies have shown that in the absence of federal reproductive health funds, we are going to see the level of abortion in Georgia increase by about 44 percent.",1.0,False
ACORN will be a paid partner with the Census Bureau and they will be in charge of going door-to-door and collecting data from the American public.,1.0,False
Sixty percent of the Hispanics support the Arizona immigration law,1.0,False
"If the sequester hits, federal prosecutors will have to let criminals go.",1.0,False
Says Dick Cheney de-Baathisized the Iraqi government and created ISIS.,0.95,False
Says Bill and Hillary Clinton attended Donald Trumps last wedding.,0.7,True
I did not play any role in bringing the company to RI as did others in government. I was tasked with handling the legislation affecting the company by my superiors.,0.95,False
"Obamacare insurance cooperative failures should be expected because theyre like any business, and when you start businesses in America, at the fifth year, half of the businesses have closed.",0.9,False
The tax cut deal is giving $700 billion to millionaires and billionaires.,1.0,False
Says Marco Rubio said Social Security and Medicare haveweakened us as a people.,0.95,True
"Across the country, $174 billion of the Recovery Act have been committed in its first 130 days.",1.0,True
"As secretary of the Department of Energy under former President Bill Clinton, ""I created reserves of home heating oil.""",1.0,True
Twenty-five states have lower unemployment than Texas which is tied with Mississippi for more minimum-wage jobs than anywhere in the United States.,0.95,True
"Of the 20 bills [Rep. David] Cicilline has sponsored in his three years in office, not a single one has advanced past the embryonic committee stage.",0.6,False
"Says Donald Trump has said he loves war, including with nukes.",0.5,False
"Any state tax law has to start in the House and the renewal of the state hospital bed tax this year started in the Senate, which is unconstitutional.",0.9,False
"Every child born today inherits a $30,000 share in a national debt that stands at more than $13 trillion.",0.9,True
A strong bipartisan majority in the House of Representatives voted to defund Obamacare.,1.0,False
Proximity to high-voltage power lines lowers property values by as much as 30 percent.,0.9,False
What the facts say is ...the best scenario for kids is a loving mom and dad.,1.0,False
Says Mark Neumann = Nancy Pelosi,0.8,False
"To hear Gov. Christie tell it, everything in New Jersey is going just fine. Well I see another New Jersey with 400,000 unemployed. One of the worst jobless rates in the country. Working and middle class families have seen costs soar, from property taxes to college tuition.",1.0,False
Says delegates cant legally change the Republican National Convention rules to prevent Donald Trumps nomination.,0.95,False
Rebuilding three high schools will benefit 40 percent of Portland Public School students.,1.0,False
Proposition 2 on Novembers Texas ballot does not cost state taxpayers any money.,0.9,False
Providence has the lowest crime rate in three decades.,0.9,True
On banning earmarks.,1.0,False
Says hes taken an 8% pay decrease in each of the nine years he has been in office.,0.85,False
1 percent of Americans are millionaires. 47 percent of House Reps. are millionaires. 56 percent of Senators are millionaires.,0.1,False
The decision for the United States to buy heavy water from Iran will directly subsidize Irans nuclear program.,1.0,False
The Texas Department of Transportation... misplaced a billion dollars.,0.85,True
A judges order means theres a Constitution exemption zone if you live within 100 miles of the United States border.,0.2,False
"Pepper ... kicked off a jock tax, imposing a levy on the sports and entertainment industry.",0.9,True
